"filename", "language", "Dart", "comment", "blank", "total"
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/components/small_list.dart", "Dart", 41, 1, 6, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/offer_screen.dart", "Dart", 24, 0, 3, 27
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/order_way/components/body.dart", "Dart", 28, 0, 3, 31
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/order_way/components/order_detail_card.dart", "Dart", 35, 0, 2, 37
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/order_way/order_way_screen.dart", "Dart", 25, 1, 3, 29
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/search/components/body.dart", "Dart", 120, 2, 7, 129
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/search/components/build_body.dart", "Dart", 74, 1, 8, 83
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/search/components/filter_chips_category.dart", "Dart", 119, 0, 4, 123
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/search/components/filter_chips_section.dart", "Dart", 103, 0, 5, 108
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/search/components/header.dart", "Dart", 69, 0, 4, 73
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/search/components/header_phone.dart", "Dart", 56, 8, 4, 68
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/search/components/ripple_button.dart", "Dart", 44, 0, 4, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/search/components/small_song_list.dart", "Dart", 30, 13, 5, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/search/components/total_documnet.dart", "Dart", 18, 0, 3, 21
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/search/search_screen.dart", "Dart", 21, 0, 3, 24
